accuracy_0,loss_0,accuracy_1,loss_1,accuracy_2,loss_2,accuracy_3,loss_3,accuracy_4,loss_4,accuracy_5,loss_5,accuracy_6,loss_6,accuracy_7,loss_7,accuracy_8,loss_8,accuracy_9,loss_9,accuracy_10,loss_10,accuracy_11,loss_11,accuracy_12,loss_12,accuracy_13,loss_13,accuracy_14,loss_14,accuracy_15,loss_15,accuracy_16,loss_16,accuracy_17,loss_17,accuracy_18,loss_18,accuracy_19,loss_19
0.8788999915122986,0.412066102027893,0.8702200055122375,0.4348790347576141,0.8788599967956543,0.4148588180541992,0.8874199986457825,0.3863490521907806,0.8873400092124939,0.3789491355419159,0.8875799775123596,0.3812086284160614,0.8891800045967102,0.3758135139942169,0.8597999811172485,0.4582612216472626,0.8931800127029419,0.3600957095623016,0.8895000219345093,0.3769530057907104,0.8916199803352356,0.3632984757423401,0.8939599990844727,0.3607907891273498,0.8651599884033203,0.4594526886940002,0.6681399941444397,1.0282918214797974,0.8276799917221069,0.5716946721076965,0.8719599843025208,0.4289592206478119,0.8931000232696533,0.3696335852146148,0.8729000091552734,0.4238158166408539,0.8787999749183655,0.4118472933769226,0.8955600261688232,0.35803160071372986
0.8828999996185303,0.4010507464408874,0.8703799843788147,0.4303098022937774,0.8802599906921387,0.4079466462135315,0.888480007648468,0.3776114583015442,0.8908200263977051,0.3704034388065338,0.8886399865150452,0.376255065202713,0.8913999795913696,0.3684282004833221,0.8623600006103516,0.4506339430809021,0.8950799703598022,0.3523852825164795,0.8925399780273438,0.3659596443176269,0.8963599801063538,0.3523951470851898,0.8959800004959106,0.3514838218688965,0.8677200078964233,0.4503988027572632,0.6746000051498413,1.0104068517684937,0.830560028553009,0.5610303282737732,0.8737199902534485,0.4211126863956451,0.8935400247573853,0.3600707352161407,0.8760200142860413,0.4159502685070038,0.8829399943351746,0.4052829444408417,0.897599995136261,0.3530553877353668
0.8843200206756592,0.3949281275272369,0.8748800158500671,0.4209418892860412,0.8836399912834167,0.3988429307937622,0.8919000029563904,0.3677295744419098,0.8932399749755859,0.3659504652023315,0.8910800218582153,0.3705643713474273,0.8931000232696533,0.3633385300636291,0.8655200004577637,0.4439859688282013,0.8965799808502197,0.3498576283454895,0.8950600028038025,0.3608201146125793,0.8982999920845032,0.3468081355094909,0.8970800042152405,0.346120148897171,0.8705000281333923,0.4390623867511749,0.6776800155639648,0.9963690638542176,0.8347399830818176,0.5487238764762878,0.8744400143623352,0.4174532890319824,0.8954399824142456,0.3583849966526031,0.8791999816894531,0.4065066874027252,0.8828200101852417,0.4000231921672821,0.898639976978302,0.34482496976852417
0.8872399926185608,0.3867060542106628,0.8768399953842163,0.4160490334033966,0.884880006313324,0.3946627080440521,0.8952800035476685,0.3612110018730163,0.8952199816703796,0.3613917827606201,0.8916000127792358,0.365478903055191,0.8949400186538696,0.3586268424987793,0.8697800040245056,0.4345560669898987,0.898360013961792,0.3415277600288391,0.8958200216293335,0.355838268995285,0.8999199867248535,0.3399238288402557,0.8985000252723694,0.3418324589729309,0.872979998588562,0.432200938463211,0.6810399889945984,0.983535647392273,0.8382599949836731,0.5389454364776611,0.8776800036430359,0.4105677604675293,0.8968999981880188,0.3507201969623565,0.8814200162887573,0.4008393883705139,0.8844799995422363,0.3984851241111755,0.8988999724388123,0.3406500816345215
0.8877800107002258,0.3827850520610809,0.8766599893569946,0.4123499989509582,0.8853800296783447,0.3902128040790558,0.8967000246047974,0.3547579944133758,0.896120011806488,0.3555707931518554,0.8930799961090088,0.3613781929016113,0.8952999711036682,0.3539028167724609,0.8702399730682373,0.4298353791236877,0.9001399874687195,0.3397158980369568,0.8977199792861938,0.3511780798435211,0.9007800221443176,0.3363991677761078,0.9014999866485596,0.3345286846160888,0.8747000098228455,0.4257924258708954,0.6871799826622009,0.9720304608345032,0.8392199873924255,0.5331860184669495,0.8770999908447266,0.4078789055347442,0.898419976234436,0.3479481637477875,0.8829799890518188,0.3966905176639557,0.8865799903869629,0.391501635313034,0.9015399813652039,0.3355315923690796
0.8897200226783752,0.3781300783157348,0.8786200284957886,0.4067510664463043,0.8878999948501587,0.3843340277671814,0.8960000276565552,0.349494606256485,0.8978400230407715,0.3519408702850342,0.8950200080871582,0.3571617603302002,0.8967599868774414,0.3482744395732879,0.8749399781227112,0.4198857545852661,0.9007800221443176,0.3366477787494659,0.8990399837493896,0.3467435836791992,0.904259979724884,0.3277322947978973,0.9021199941635132,0.3324596583843231,0.8764200210571289,0.4183794558048248,0.6898199915885925,0.9615864157676696,0.8442400097846985,0.5236849188804626,0.8797199726104736,0.4019589126110077,0.9002000093460083,0.34390589594841,0.8845999836921692,0.3894193768501282,0.8866999745368958,0.3886741399765014,0.9030600190162659,0.33109137415885925
0.8915600180625916,0.3726576864719391,0.8793200254440308,0.4023963212966919,0.8887799978256226,0.3812820315361023,0.8982800245285034,0.3454843759536743,0.8993399739265442,0.3473848402500152,0.897599995136261,0.352488249540329,0.8973199725151062,0.3467279374599457,0.8759599924087524,0.4167212843894958,0.9034000039100648,0.3295701444149017,0.8990600109100342,0.3428901135921478,0.9049800038337708,0.325071632862091,0.9044399857521056,0.3267815113067627,0.8793799877166748,0.4124328196048736,0.6933000087738037,0.9536255598068236,0.8462799787521362,0.5157985687255859,0.8818600177764893,0.3985123336315155,0.9011800289154052,0.3390652239322662,0.8852599859237671,0.3885793685913086,0.8883399963378906,0.3859622180461883,0.9032599925994873,0.32982730865478516
0.8928800225257874,0.3689120411872864,0.8798800110816956,0.4005467891693115,0.8898000121116638,0.3764744997024536,0.8996599912643433,0.3430517911911011,0.8995000123977661,0.3454630374908447,0.8968600034713745,0.3511485159397125,0.8985999822616577,0.3422989547252655,0.8804200291633606,0.4084307849407196,0.9039599895477296,0.3268389701843261,0.9005399942398071,0.3387649953365326,0.9063400030136108,0.3207443058490753,0.9043999910354614,0.3223496377468109,0.882420003414154,0.4084173142910003,0.6945199966430664,0.9470879435539246,0.8489800095558167,0.5101600885391235,0.883840024471283,0.3932693898677826,0.902679979801178,0.3341239392757416,0.8881400227546692,0.3813442587852478,0.8884599804878235,0.383732259273529,0.9046400189399719,0.325141966342926
0.8939399719238281,0.3651689887046814,0.8831599950790405,0.3947246372699737,0.8901200294494629,0.3740926682949066,0.8997200131416321,0.3379814028739929,0.9021000266075134,0.3415743112564087,0.8974199891090393,0.3489850461483001,0.8993200063705444,0.3399184346199035,0.8815400004386902,0.4036044776439667,0.903540015220642,0.323677122592926,0.9019799828529358,0.3352740705013275,0.9049000144004822,0.3201022744178772,0.9062399864196776,0.3198122978210449,0.8823800086975098,0.4030726850032806,0.6959199905395508,0.9385201334953308,0.8487399816513062,0.5054688453674316,0.883400022983551,0.3936066031455993,0.9027400016784668,0.3334862887859344,0.8891400098800659,0.3782631158828735,0.8902400135993958,0.3789688944816589,0.9043999910354614,0.32377907633781433
0.8942400217056274,0.3638114035129547,0.8832399845123291,0.3942137360572815,0.8921800255775452,0.370132565498352,0.9012600183486938,0.3335555791854858,0.9020799994468688,0.3400060832500458,0.8982200026512146,0.3443641364574432,0.900879979133606,0.3389533162117004,0.8835999965667725,0.397054523229599,0.9064800143241882,0.3161943256855011,0.9023200273513794,0.3335706293582916,0.9077799916267396,0.3133905529975891,0.9071800112724304,0.3174929618835449,0.8841000199317932,0.398648053407669,0.6999599933624268,0.9335845112800598,0.8507800102233887,0.50026935338974,0.8861200213432312,0.387654960155487,0.9034000039100648,0.3315222561359405,0.8906599879264832,0.3769774734973907,0.8913400173187256,0.3774440288543701,0.9061200022697449,0.32045137882232666
