accuracy_10,loss_10,accuracy_11,loss_11,accuracy_12,loss_12,accuracy_13,loss_13,accuracy_14,loss_14,accuracy_15,loss_15,accuracy_16,loss_16,accuracy_17,loss_17,accuracy_18,loss_18,accuracy_19,loss_19
0.199080005288124,2.118081331253052,0.1422400027513504,2.245882511138916,0.197500005364418,2.165887355804444,0.2291000038385391,2.167815685272217,0.2848800122737884,2.077669382095337,0.1977799981832504,2.1650469303131104,0.2852999866008758,2.040825605392456,0.2680599987506866,1.9845750331878664,0.2099200040102005,2.1140658855438232,0.147719994187355,2.2355380058288574
0.3233000040054321,1.8622514009475708,0.17637999355793,2.1606433391571045,0.3577600121498108,1.857629418373108,0.3798800110816955,1.897804379463196,0.5084400177001953,1.554038643836975,0.3460800051689148,1.8196909427642824,0.4887000024318695,1.5683094263076782,0.4971800148487091,1.4879558086395264,0.3601000010967254,1.7312588691711426,0.1921599954366684,2.0151610374450684
0.3783999979496002,1.6669057607650757,0.2238399982452392,2.019571304321289,0.4394200146198272,1.610015034675598,0.4402599930763244,1.7196340560913086,0.6013399958610535,1.2305344343185425,0.5095800161361694,1.5291380882263184,0.6109399795532227,1.2674765586853027,0.5882999897003174,1.2255516052246094,0.4688799977302551,1.4790014028549194,0.2338999956846237,1.873018860816956
0.4380599856376648,1.5001723766326904,0.2959400117397308,1.8817408084869385,0.5054600238800049,1.4090344905853271,0.4725399911403656,1.564331293106079,0.6689199805259705,1.032934069633484,0.5860400199890137,1.3092626333236694,0.6560199856758118,1.0945909023284912,0.6414999961853027,1.0750205516815186,0.5750200152397156,1.2914210557937622,0.3302400112152099,1.7745718955993652
0.4906800091266632,1.3752707242965698,0.3099200129508972,1.7679412364959717,0.5799000263214111,1.2474981546401978,0.4974600076675415,1.4380651712417605,0.7139599919319153,0.8976203203201294,0.6279799938201904,1.1548351049423218,0.6893399953842163,0.9832161664962769,0.6800400018692017,0.9729575514793396,0.6500800251960754,1.1441853046417236,0.4072799980640411,1.6966289281845093
0.5309200286865234,1.2857706546783447,0.3274599909782409,1.6790704727172852,0.6239399909973145,1.1224337816238403,0.5317800045013428,1.33821702003479,0.750540018081665,0.8022431135177612,0.6557199954986572,1.0460041761398315,0.7071999907493591,0.912976622581482,0.70660001039505,0.9039099812507628,0.6992200016975403,1.0227278470993042,0.4392000138759613,1.6307487487792969
0.5579000115394592,1.2165757417678833,0.3587200045585632,1.6141314506530762,0.662060022354126,1.028643250465393,0.5674399733543396,1.262526512145996,0.7781800031661987,0.7256097793579102,0.6786999702453613,0.968160092830658,0.7249000072479248,0.8617203235626221,0.7251200079917908,0.8536184430122375,0.7258999943733215,0.9315572381019592,0.4615800082683563,1.5726921558380127
0.5771999955177307,1.1620545387268066,0.3814800083637237,1.5628364086151123,0.6914600133895874,0.9616928100585938,0.5963600277900696,1.2060301303863523,0.7920799851417542,0.6788012385368347,0.6978999972343445,0.9091039299964904,0.7379400134086609,0.8222120404243469,0.7403799891471863,0.8163992166519165,0.741599977016449,0.8684267401695251,0.476639986038208,1.5235847234725952
0.5927600264549255,1.1176098585128784,0.3959600031375885,1.5229785442352295,0.7133200168609619,0.9084559082984924,0.6196200251579285,1.1573854684829712,0.8060799837112427,0.6352881789207458,0.7131800055503845,0.861794114112854,0.749239981174469,0.7900541424751282,0.752780020236969,0.7837947010993958,0.7533599734306335,0.8221133351325989,0.4835000038146972,1.4779179096221924
0.6078600287437439,1.0773547887802124,0.4092400074005127,1.4891945123672483,0.7320200204849243,0.867309033870697,0.638759970664978,1.1225407123565674,0.8169000148773193,0.6059142351150513,0.7277399897575378,0.8281016945838928,0.7614799737930298,0.7608590126037598,0.764240026473999,0.7572083473205566,0.7643399834632874,0.7879586815834045,0.4989599883556366,1.439125418663025
0.6180999875068665,1.0462170839309692,0.41975998878479,1.4615144729614258,0.742579996585846,0.8365869522094727,0.6496800184249878,1.0893632173538208,0.8252999782562256,0.5779755115509033,0.7414199709892273,0.7966229915618896,0.7687600255012512,0.7391202449798584,0.7736999988555908,0.7335885167121887,0.7717599868774414,0.7601940631866455,0.5051400065422058,1.406918168067932
0.6299800276756287,1.0190958976745603,0.4323199987411499,1.4356083869934082,0.7511199712753296,0.8128465414047241,0.6606400012969971,1.060387134552002,0.8319399952888489,0.5590891242027283,0.7500600218772888,0.771545946598053,0.7793800234794617,0.7169647812843323,0.7815799713134766,0.7123626470565796,0.7790799736976624,0.7381659150123596,0.5136200189590454,1.380464792251587
